satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R01,2024-10-15 23:45:00,0.00010116118937730002,9.094947017729001e-13,257399.99999999997,-8881.282714844,-0.1985673904419,-0.0,0.0,-23899.17236328,-0.058501243591309995,2.793967723846e-09,1.0,880.0854492188,-3.569360733032,-0.0,0.0
R01,2024-10-16 00:15:00,0.00010116398334500001,9.094947017729001e-13,259200.0,-8915.899414062,0.1955089569092,9.313225746155e-10,0.0,-23263.46484375,0.7439451217651001,2.793967723846e-09,1.0,-5495.791992188,-3.468960762024,0.0,0.0
R01,2024-10-16 00:45:00,0.0001011667773128,9.094947017729001e-13,261000.0,-8070.459472655999,0.7667503356934,1.862645149231e-09,0.0,-21325.19238281,1.373701095581,1.862645149231e-09,1.0,-11446.90673828,-3.100481033325,1.862645149231e-09,0.0
R01,2024-10-16 01:15:00,0.0001011686399579,9.094947017729001e-13,262800.0,-6102.810546875,1.425322532654,1.862645149231e-09,0.0,-18466.41894531,1.75772857666,9.313225746155e-10,1.0,-16513.4375,-2.492481231689,1.862645149231e-09,0.0
R01,2024-10-16 01:45:00,0.0001011714339256,9.094947017729001e-13,264600.0,-2952.2436523439997,2.062281608582,1.862645149231e-09,0.0,-15164.861328120001,1.864157676697,0.0,1.0,-20304.0390625,-1.691983222961,2.793967723846e-09,0.0
R01,2024-10-16 02:15:00,0.00010117422789340001,9.094947017729001e-13,266400.0,1242.079589844,2.567620277405,1.862645149231e-09,0.0,-11914.56689453,1.706846237183,-9.313225746155e-10,1.0,-22525.97070312,-0.760814666748,3.725290298462e-09,0.0
R01,2024-10-16 02:45:00,0.00010117609053850002,9.094947017729001e-13,268200.0,6155.890625,2.848576545715,9.313225746155e-10,0.0,-9145.176269530999,1.342376708984,-1.862645149231e-09,1.0,-23007.59667969,0.2291603088379,3.725290298462e-09,0.0
R01,2024-10-16 03:15:00,0.00010117888450620001,9.094947017729001e-13,270000.0,11325.462402340001,2.845174789429,-0.0,0.0,-7153.103027344,0.8600091934204,-2.793967723846e-09,1.0,-21711.573730469998,1.201547622681,2.793967723846e-09,0.0
R01,2024-10-16 03:45:00,0.0001011807471514,9.094947017729001e-13,271800.0,16216.783691409999,2.540452957153,-9.313225746155e-10,0.0,-6055.939453125,0.366283416748,-2.793967723846e-09,1.0,-18737.765136719998,2.081272125244,2.793967723846e-09,0.0
R01,2024-10-16 04:15:00,0.0001011835411191,9.094947017729001e-13,273600.0,20307.013183590003,1.963688850403,-1.862645149231e-09,0.0,-5777.547851562,-0.0331974029541,-1.862645149231e-09,1.0,-14315.64208984,2.800331115723,1.862645149231e-09,0.0
R01,2024-10-16 04:45:00,0.0001011854037642,9.094947017729001e-13,275400.0,23164.916503909997,1.186055183411,-2.793967723846e-09,0.0,-6066.228027344,-0.2517919540405,-9.313225746155e-10,1.0,-8786.717285155999,3.303047180176,9.313225746155e-10,0.0
R01,2024-10-16 05:15:00,0.00010118819773200001,9.09494701773e-13,277200.0,24517.1040039,0.3093957901,-2.79396772385e-09,0.0,-6542.88427734,-0.236656188965,0.0,1.0,-2578.28369141,3.55041313171,0.0,0.0
R01,2024-10-16 05:45:00,0.000101190060377,9.09494701773e-13,279000.0,24289.1445312,-0.550071716309,-2.79396772385e-09,0.0,-6771.10839844,0.0220890045166,0.0,1.0,3829.57275391,3.52316856384,0.0,0.0
R01,2024-10-16 06:15:00,0.000101191923022,9.09494701773e-13,280800.0,22614.7646484,-1.28043079376,-2.79396772385e-09,0.0,-6337.413085939999,0.48941516876200003,9.31322574615e-10,1.0,9941.14648438,3.22334098816,-9.31322574615e-10,0.0
R01,2024-10-16 06:45:00,0.00010119471699,9.09494701773e-13,282600.0,19811.6030273,-1.79201698303,-1.8626451492300002e-09,0.0,-4928.09716797,1.09101772308,1.8626451492300002e-09,1.0,15283.5693359,2.67411231995,-1.8626451492300002e-09,0.0
R01,2024-10-16 07:15:00,0.000101196579635,9.09494701773e-13,284400.0,16327.5869141,-2.03165054321,0.0,0.0,-2389.7587890600003,1.72559452057,1.8626451492300002e-09,1.0,19443.5048828,1.91801261902,-2.79396772385e-09,0.0
R01,2024-10-16 07:45:00,0.00010119844228,9.09494701773e-13,286200.0,12666.8881836,-1.99078083038,0.0,0.0,1236.79785156,2.28171825409,1.8626451492300002e-09,1.0,22099.1894531,1.01358985901,-2.79396772385e-09,0.0
R01,2024-10-16 08:15:00,0.000101201236248,9.09494701773e-13,288000.0,9307.78857422,-1.70620250702,1.8626451492300002e-09,0.0,5715.07910156,2.65647315979,9.31322574615e-10,1.0,23045.318359400004,0.030850410461400003,-2.79396772385e-09,0.0
R01,2024-10-16 08:45:00,0.00010120309889300002,9.09494701773e-13,289800.0,6626.0917968799995,-1.25327014923,1.8626451492300002e-09,0.0,10644.229003900002,2.77276515961,9.31322574615e-10,1.0,22208.8769531,-0.9541769027710001,-2.79396772385e-09,0.0
R01,2024-10-16 09:15:00,0.00010120496153800001,9.09494701773e-13,291600.0,4836.729980470001,-0.732759475708,2.79396772385e-09,0.0,15518.1274414,2.59243297577,0.0,1.0,19654.7294922,-1.86531734467,-2.79396772385e-09,0.0
R01,2024-10-16 09:45:00,0.00010120775550600001,9.09494701773e-13,293400.0,3963.14599609,-0.25357913970900003,2.79396772385e-09,0.0,19802.6020508,2.12298488617,-9.31322574615e-10,1.0,15580.559082,-2.63212585449,-1.8626451492300002e-09,0.0
R01,2024-10-16 10:15:00,0.000101209618151,9.09494701773e-13,295200.0,3839.40380859,0.0857925415039,2.79396772385e-09,0.0,23018.102539099997,1.41683769226,-1.8626451492300002e-09,1.0,10301.5566406,-3.19533061981,-9.31322574615e-10,0.0
R01,2024-10-16 10:45:00,0.00010121148079600001,9.09494701773e-13,297000.0,4144.533691410001,0.214060783386,1.8626451492300002e-09,0.0,24814.2509766,0.563179016113,-2.79396772385e-09,1.0,4226.023925779999,-3.51142120361,0.0,0.0
R01,2024-10-16 11:15:00,0.00010121334344149999,9.094947017729001e-13,298800.0,4463.266601562,0.09926223754883001,9.313225746155e-10,0.0,25023.99707031,-0.32623958587650004,-2.793967723846e-09,1.0,-2176.236328125,-3.556016921997,0.0,0.0
R01,2024-10-16 11:45:00,0.0001012161374092,9.094947017729001e-13,300600.0,4362.898925781,-0.2457113265991,0.0,0.0,23688.464355469998,-1.135009765625,-2.793967723846e-09,1.0,-8410.291992188,-3.325755119324,9.313225746155e-10,0.0
R01,2024-10-16 12:15:00,0.00010121800005440001,9.094947017729001e-13,302400.0,3473.345214844,-0.7651443481445,-9.313225746155e-10,0.0,21048.414550780002,-1.760722160339,-2.793967723846e-09,1.0,-13994.37353516,-2.83852481842,1.862645149231e-09,0.0
R01,2024-10-16 12:45:00,0.0001012207940221,9.094947017729001e-13,304200.0,1556.907714844,-1.369728088379,-9.313225746155e-10,0.0,17503.82128906,-2.131253242493,-1.862645149231e-09,1.0,-18497.09033203,-2.132043838501,2.793967723846e-09,0.0
R01,2024-10-16 13:15:00,0.0001012235879898,9.094947017729001e-13,306000.0,-1443.9765625,-1.951457023621,-1.862645149231e-09,0.0,13548.30126953,-2.216016769409,-0.0,1.0,-21570.68603516,-1.260911941528,2.793967723846e-09,0.0
R01,2024-10-16 13:45:00,0.000101225450635,9.094947017729001e-13,307800.0,-5389.075195312001,-2.401681900024,-9.313225746155e-10,0.0,9689.303222655999,-2.030329704285,0.0,1.0,-22977.78417969,-0.2923812866211,3.725290298462e-09,0.0
R01,2024-10-16 14:15:00,0.00010122824460269999,9.094947017729001e-13,309600.0,-9955.833496094,-2.629366874695,-9.313225746155e-10,0.0,6367.234375,-1.632215499878,1.862645149231e-09,1.0,-22609.62646484,0.6988115310669001,3.725290298462e-09,0.0
R01,2024-10-16 14:45:00,0.0001012301072478,9.094947017729001e-13,311400.0,-14685.58789062,-2.576505661011,-0.0,0.0,3886.816894531,-1.112198829651,2.793967723846e-09,1.0,-20494.44775391,1.636167526245,2.793967723846e-09,0.0
R01,2024-10-16 15:15:00,0.00010123290121560001,9.094947017729001e-13,313200.0,-19053.03857422,-2.228189468384,9.313225746155e-10,0.0,2371.922363281,-0.5777988433838,2.793967723846e-09,1.0,-16795.36767578,2.447277069092,2.793967723846e-09,0.0
R01,2024-10-16 15:45:00,0.00010123476386070001,9.094947017729001e-13,315000.0,-22547.67724609,-1.615633964539,1.862645149231e-09,0.0,1751.2299804689999,-0.1352605819702,2.793967723846e-09,1.0,-11797.939453120001,3.069395065308,1.862645149231e-09,0.0
R01,2024-10-16 16:15:00,0.00010123755782840001,9.094947017729001e-13,316800.0,-24753.83398438,-0.8116283416748001,2.793967723846e-09,0.0,1776.991210938,0.12844657897950001,1.862645149231e-09,1.0,-5888.241210938,3.454304695129,9.313225746155e-10,0.0
R01,2024-10-16 16:45:00,0.0001012394204736,9.094947017729001e-13,318600.0,-25416.164550780002,0.08086776733398,2.793967723846e-09,0.0,2073.693359375,0.16037750244140003,9.313225746155e-10,1.0,476.8676757812,3.57209777832,0.0,0.0
R01,2024-10-16 17:15:00,0.0001012422144413,9.094947017729001e-13,320400.0,-24479.73925781,0.9451522827148001,2.793967723846e-09,0.0,2208.431152344,-0.0493631362915,0.0,1.0,6805.074707031,3.413554191589,-9.313225746155e-10,0.0
R01,2024-10-16 17:45:00,0.0001012440770864,9.094947017729001e-13,322200.0,-22098.046875,1.669498443604,2.793967723846e-09,0.0,1771.143066406,-0.4658460617065,0.0,1.0,12606.776855470001,2.990891456604,-1.862645149231e-09,0.0
R01,2024-10-16 18:15:00,0.00010124593973160001,9.094947017729001e-13,324000.0,-18607.57519531,2.16505241394,1.862645149231e-09,0.0,451.1704101562,-1.015115737915,-9.313225746155e-10,1.0,17433.07763672,2.33682346344,-2.793967723846e-09,0.0
R01,2024-10-16 18:45:00,0.0001012478023767,9.094947017729001e-13,325800.0,-14473.18505859,2.379925727844,9.313225746155e-10,0.0,-1902.791992188,-1.596587181091,-1.862645149231e-09,1.0,20910.606933590003,1.502003669739,-2.793967723846e-09,0.0
R01,2024-10-16 19:15:00,0.000101250596344,9.09494701773e-13,327600.0,-10213.3652344,2.30714321136,0.0,0.0,-5249.51025391,-2.09997177124,-1.8626451492300002e-09,1.0,22770.4399414,0.551067352295,-3.7252902984600004e-09,0.0
R01,2024-10-16 19:45:00,0.00010125245899,9.09494701773e-13,329400.0,-6317.77978516,1.98515224457,-9.31322574615e-10,0.0,-9354.47460937,-2.42388534546,-9.31322574615e-10,1.0,22868.8662109,-0.44239902496300004,-3.7252902984600004e-09,0.0
R01,2024-10-16 20:15:00,0.00010125432163500002,9.09494701773e-13,331200.0,-3170.7231445300004,1.49083995819,-1.8626451492300002e-09,0.0,-13821.860351599998,-2.49306583405,-9.31322574615e-10,1.0,21198.446777300003,-1.40155220032,-2.79396772385e-09,0.0
R01,2024-10-16 20:45:00,0.00010125432163500002,9.09494701773e-13,333000.0,-993.083984375,0.926246643066,-2.79396772385e-09,0.0,-18154.0263672,-2.27132225037,0.0,1.0,17888.5366211,-2.25222682953,-2.79396772385e-09,0.0
R01,2024-10-16 21:15:00,0.00010125618428000001,9.09494701773e-13,334800.0,187.708984375,0.401195526123,-3.7252902984600004e-09,0.0,-21828.8095703,-1.76807880402,9.31322574615e-10,1.0,13195.2490234,-2.92865943909,-1.8626451492300002e-09,0.0
R01,2024-10-16 21:45:00,0.0001012589782476,9.094947017729001e-13,336600.0,534.9262695312001,0.01472091674805,-2.793967723846e-09,0.0,-24381.910644530002,-1.037405014038,1.862645149231e-09,1.0,7481.627441406,-3.378574371338,-9.313225746155e-10,0.0
R01,2024-10-16 22:15:00,0.00010126084089280002,9.094947017729001e-13,338400.0,367.5859375,-0.1616268157959,-2.793967723846e-09,0.0,-25480.788574219998,-0.1696805953979,1.862645149231e-09,1.0,1189.543945312,-3.567231178284,0.0,0.0
R01,2024-10-16 22:45:00,0.00010126363486050001,9.094947017729001e-13,340200.0,99.28662109375,-0.09580516815186,-1.862645149231e-09,0.0,-24977.85839844,0.7227458953857,2.793967723846e-09,1.0,-5194.51171875,-3.480117797852,0.0,0.0
R01,2024-10-16 23:15:00,0.00010126549750570001,9.094947017729001e-13,342000.0,161.1640625,0.1993589401245,-9.313225746155e-10,0.0,-22934.18457031,1.523535728455,2.793967723846e-09,1.0,-11177.09179688,-3.12405872345,9.313225746155e-10,0.0
R01,2024-10-16 23:45:00,0.0001012682914734,9.094947017729001e-13,343800.0,921.9604492187999,0.6683597564697,-0.0,0.0,-19609.763671880002,2.130982398987,2.793967723846e-09,1.0,-16295.93994141,-2.526656150818,1.862645149231e-09,0.0
R02,2024-10-15 23:45:00,-2.5182031095030004e-05,-0.0,257399.99999999997,-12620.356445309999,-0.7986164093018,-9.313225746155e-10,0.0,-14596.02441406,-2.139719963074,2.793967723846e-09,-4.0,16680.24169922,-2.488886833191,-1.862645149231e-09,0.0
R02,2024-10-16 00:15:00,-2.51829624176e-05,0.0,259200.0,-14107.73730469,-0.8118486404419001,0.0,0.0,-17774.64208984,-1.373394012451,2.793967723846e-09,-4.0,11612.81201172,-3.105171203613,-1.862645149231e-09,0.0
R02,2024-10-16 00:45:00,-2.5183893740180004e-05,0.0,261000.0,-15386.17285156,-0.5652475357056,0.0,0.0,-19507.75878906,-0.5531196594238,2.793967723846e-09,-4.0,5645.831054688,-3.481734275818,-9.313225746155e-10,0.0
R02,2024-10-16 01:15:00,-2.518482506275e-05,0.0,262800.0,-15995.48730469,-0.07491111755371,9.313225746155e-10,0.0,-19803.58300781,0.2047605514526,2.793967723846e-09,-4.0,-759.123046875,-3.588493347168,0.0,0.0
R02,2024-10-16 01:45:00,-2.5185756385330004e-05,-0.0,264600.0,-15544.98144531,0.5990352630615,1.862645149231e-09,1.0,-18870.405761719998,0.7973623275757,1.862645149231e-09,-4.0,-7105.007324219,-3.416431427002,9.313225746155e-10,0.0
R02,2024-10-16 02:15:00,-2.518761903048e-05,-0.0,266400.0,-13785.21826172,1.361901283264,2.793967723846e-09,1.0,-17076.65625,1.152097702026,9.313225746155e-10,-4.0,-12898.34521484,-2.978531837463,1.862645149231e-09,0.0
R02,2024-10-16 02:45:00,-2.518948167562e-05,-0.0,268200.0,-10657.060546879999,2.099885940552,2.793967723846e-09,1.0,-14884.86083984,1.238408088684,0.0,-4.0,-17688.29150391,-2.308869361877,2.793967723846e-09,0.0
R02,2024-10-16 03:15:00,-2.51904129982e-05,-0.0,270000.0,-6309.380371094,2.698923110962,1.862645149231e-09,1.0,-12770.69970703,1.072336196899,-9.313225746155e-10,-4.0,-21102.39794922,-1.459886550903,2.793967723846e-09,0.0
R02,2024-10-16 03:45:00,-2.519227564335e-05,-0.0,271800.0,-1082.217773438,3.063670158386,9.313225746155e-10,1.0,-11140.990234379999,0.7131376266479,-1.862645149231e-09,-4.0,-22876.035644530002,-0.4981174468994001,3.725290298462e-09,0.0
R02,2024-10-16 04:15:00,-2.5193206965920003e-05,-0.0,273600.0,4541.888183594,3.133364677429,-0.0,1.0,-10264.564941409999,0.2525577545166,-1.862645149231e-09,-4.0,-22873.01953125,0.5012311935425,3.725290298462e-09,0.0
R02,2024-10-16 04:45:00,-2.5194138288500002e-05,-0.0,275400.0,10010.228027340001,2.891889572144,-9.313225746155e-10,1.0,-10227.721191409999,-0.20134067535400002,-1.862645149231e-09,-4.0,-21095.817871090003,1.460342407227,2.793967723846e-09,0.0
R02,2024-10-16 05:15:00,-2.5194138288500002e-05,-0.0,277200.0,14783.805664059999,2.370371818542,-1.862645149231e-09,1.0,-10921.60595703,-0.5429706573486001,-9.313225746155e-10,-4.0,-17684.677734380002,2.30495262146,2.793967723846e-09,0.0
R02,2024-10-16 05:45:00,-2.5195069611070003e-05,-0.0,279000.0,18418.8359375,1.641990661621,-2.793967723846e-09,1.0,-12063.39404297,-0.6874341964722,-9.313225746155e-10,-4.0,-12905.946289059999,2.970115661621,1.862645149231e-09,0.0
R02,2024-10-16 06:15:00,-2.5194138288500002e-05,0.0,280800.0,20632.49462891,0.8099288940430001,-2.793967723846e-09,1.0,-13247.40380859,-0.5851135253906,0.0,-4.0,-7130.722167969,3.405116081238,9.313225746155e-10,0.0
